date,stop,seq,direction,hour,boardings,weekday,week_num,semester,sem_num,is_exam,is_exam_mid,is_exam_fin,is_pre_exam,is_holiday,is_sat_1floor,is_sat_2floor,boardings_lag1,boardings_lag7,boardings_roll3,temp_avg,precip_mm,is_rainy,is_cold,is_hot
2025_03_05,사당역9번출구앞,32,arrive,7,69.0,2,1,2025_1,1,0,0,0,0,0,1,1,,,,3.1,0.1,0,1,0
2025_03_06,사당역9번출구앞,32,arrive,7,69.0,3,1,2025_1,1,0,0,0,0,0,1,1,69.0,,69.0,2.6,0.0,0,1,0
2025_03_07,사당역9번출구앞,32,arrive,7,38.0,4,1,2025_1,1,0,0,0,0,0,0,0,69.0,,69.0,2.1,0.0,0,1,0
2025_03_10,사당역9번출구앞,32,arrive,7,73.0,0,2,2025_1,1,0,0,0,0,0,1,1,38.0,,58.666666666666664,4.8,0.0,0,1,0
2025_03_12,사당역9번출구앞,32,arrive,7,97.0,2,2,2025_1,1,0,0,0,0,0,1,1,73.0,,60.0,6.6,0.0,0,0,0
2025_03_13,사당역9번출구앞,32,arrive,7,89.0,3,2,2025_1,1,0,0,0,0,0,1,1,97.0,69.0,69.33333333333333,6.5,0.0,0,0,0
2025_03_14,사당역9번출구앞,32,arrive,7,59.0,4,2,2025_1,1,0,0,0,0,0,1,0,89.0,69.0,86.33333333333333,10.4,0.0,0,0,0
2025_03_17,사당역9번출구앞,32,arrive,7,98.0,0,3,2025_1,1,0,0,0,0,0,1,1,59.0,38.0,81.66666666666667,1.2,0.0,0,1,0
2025_03_18,사당역9번출구앞,32,arrive,7,91.0,1,3,2025_1,1,0,0,0,0,0,1,1,98.0,73.0,82.0,0.5,7.4,1,1,0
2025_03_19,사당역9번출구앞,32,arrive,7,99.0,2,3,2025_1,1,0,0,0,0,0,1,1,91.0,97.0,82.66666666666667,-0.6,0.0,0,1,0
2025_03_20,사당역9번출구앞,32,arrive,7,92.0,3,3,2025_1,1,0,0,0,0,0,1,1,99.0,89.0,96.0,5.2,0.0,0,0,0
2025_03_21,사당역9번출구앞,32,arrive,7,73.0,4,3,2025_1,1,0,0,0,0,0,1,1,92.0,59.0,94.0,8.7,0.0,0,0,0
2025_03_24,사당역9번출구앞,32,arrive,7,96.0,0,4,2025_1,1,0,0,0,0,0,1,1,73.0,98.0,88.0,12.8,0.0,0,0,0
2025_03_25,사당역9번출구앞,32,arrive,7,99.0,1,4,2025_1,1,0,0,0,0,0,1,1,96.0,91.0,87.0,10.5,0.0,0,0,0
2025_03_26,사당역9번출구앞,32,arrive,7,97.0,2,4,2025_1,1,0,0,0,0,0,1,1,99.0,99.0,89.33333333333333,12.3,0.0,0,0,0
2025_03_27,사당역9번출구앞,32,arrive,7,91.0,3,4,2025_1,1,0,0,0,0,0,1,1,97.0,92.0,97.33333333333333,12.8,1.0,1,0,0
2025_03_28,사당역9번출구앞,32,arrive,7,98.0,4,4,2025_1,1,0,0,0,0,0,1,1,91.0,73.0,95.66666666666667,6.0,0.0,0,0,0
2025_03_31,사당역9번출구앞,32,arrive,7,98.0,0,5,2025_1,1,0,0,0,0,0,1,1,98.0,96.0,95.33333333333333,4.8,0.0,0,1,0
2025_04_01,사당역9번출구앞,32,arrive,7,69.0,1,5,2025_1,1,0,0,0,0,0,1,1,98.0,99.0,95.66666666666667,6.7,0.0,0,0,0
2025_04_02,사당역9번출구앞,32,arrive,7,70.0,2,5,2025_1,1,0,0,0,0,0,1,1,69.0,97.0,88.33333333333333,6.0,0.9,1,0,0
2025_04_03,사당역9번출구앞,32,arrive,7,70.0,3,5,2025_1,1,0,0,0,0,0,1,1,70.0,91.0,79.0,6.7,0.0,0,0,0
2025_04_04,사당역9번출구앞,32,arrive,7,35.0,4,5,2025_1,1,0,0,0,0,0,0,0,70.0,98.0,69.66666666666667,7.9,0.0,0,0,0
2025_04_07,사당역9번출구앞,32,arrive,7,69.0,0,6,2025_1,1,0,0,0,1,0,1,1,35.0,98.0,58.333333333333336,10.5,0.0,0,0,0
2025_04_08,사당역9번출구앞,32,arrive,7,41.0,1,6,2025_1,1,0,0,0,1,0,0,0,69.0,69.0,58.0,10.9,1.7,1,0,0
2025_04_09,사당역9번출구앞,32,arrive,7,70.0,2,6,2025_1,1,0,0,0,1,0,1,1,41.0,70.0,48.333333333333336,9.9,0.1,0,0,0
2025_04_10,사당역9번출구앞,32,arrive,7,60.0,3,6,2025_1,1,0,0,0,1,0,1,0,70.0,70.0,60.0,10.3,0.1,0,0,0
2025_04_11,사당역9번출구앞,32,arrive,7,38.0,4,6,2025_1,1,0,0,0,1,0,0,0,60.0,35.0,57.0,12.2,0.0,0,0,0
2025_04_14,사당역9번출구앞,32,arrive,7,41.0,0,7,2025_1,1,0,0,0,0,0,0,0,38.0,69.0,56.0,4.6,8.1,1,1,0
2025_04_15,사당역9번출구앞,32,arrive,7,69.0,1,7,2025_1,1,0,0,0,0,0,1,1,41.0,41.0,46.333333333333336,6.3,0.0,0,0,0
2025_04_16,사당역9번출구앞,32,arrive,7,41.0,2,7,2025_1,1,1,1,0,0,0,0,0,69.0,70.0,49.333333333333336,11.9,0.0,0,0,0
2025_04_17,사당역9번출구앞,32,arrive,7,49.0,3,7,2025_1,1,1,1,0,0,0,1,0,41.0,60.0,50.333333333333336,17.7,0.1,0,0,0
2025_04_18,사당역9번출구앞,32,arrive,7,39.0,4,7,2025_1,1,1,1,0,0,0,0,0,49.0,38.0,53.0,15.8,0.0,0,0,0
2025_04_21,사당역9번출구앞,32,arrive,7,41.0,0,8,2025_1,1,1,1,0,0,0,0,0,39.0,41.0,43.0,17.6,0.0,0,0,0
2025_04_22,사당역9번출구앞,32,arrive,7,70.0,1,8,2025_1,1,1,1,0,0,0,1,1,41.0,69.0,43.0,16.8,20.8,1,0,0
2025_04_23,사당역9번출구앞,32,arrive,7,65.0,2,8,2025_1,1,1,1,0,0,0,1,0,70.0,41.0,50.0,14.7,0.0,0,0,0
2025_04_24,사당역9번출구앞,32,arrive,7,49.0,3,8,2025_1,1,1,1,0,0,0,1,0,65.0,49.0,58.666666666666664,11.8,0.0,0,0,0
2025_04_25,사당역9번출구앞,32,arrive,7,33.0,4,8,2025_1,1,1,1,0,0,0,0,0,49.0,39.0,61.333333333333336,10.4,0.0,0,0,0
2025_04_28,사당역9번출구앞,32,arrive,7,56.0,0,9,2025_1,1,1,1,0,0,0,1,0,33.0,41.0,49.0,12.4,0.0,0,0,0
2025_04_29,사당역9번출구앞,32,arrive,7,69.0,1,9,2025_1,1,1,1,0,0,0,1,1,56.0,70.0,46.0,11.7,0.0,0,0,0
2025_04_30,사당역9번출구앞,32,arrive,7,48.0,2,9,2025_1,1,1,1,0,0,0,1,0,69.0,65.0,52.666666666666664,15.1,0.0,0,0,0
2025_05_01,사당역9번출구앞,32,arrive,7,19.0,3,9,2025_1,1,0,0,0,0,0,0,0,48.0,49.0,57.666666666666664,13.0,18.7,1,0,0
2025_05_02,사당역9번출구앞,32,arrive,7,31.0,4,9,2025_1,1,0,0,0,0,0,0,0,19.0,33.0,45.333333333333336,12.0,0.0,0,0,0
2025_05_05,사당역9번출구앞,32,arrive,7,6.0,0,10,2025_1,1,0,0,0,0,1,0,0,,,,11.0,0.2,0,0,0
2025_05_06,사당역9번출구앞,32,arrive,7,9.0,1,10,2025_1,1,0,0,0,0,1,0,0,,,,12.5,0.0,0,0,0
2025_05_07,사당역9번출구앞,32,arrive,7,69.0,2,10,2025_1,1,0,0,0,0,0,1,1,31.0,56.0,32.666666666666664,12.2,0.2,0,0,0
2025_05_08,사당역9번출구앞,32,arrive,7,49.0,3,10,2025_1,1,0,0,0,0,0,1,0,69.0,69.0,39.666666666666664,14.9,0.0,0,0,0
2025_05_09,사당역9번출구앞,32,arrive,7,46.0,4,10,2025_1,1,0,0,0,0,0,1,0,49.0,48.0,49.666666666666664,14.2,23.3,1,0,0
2025_05_12,사당역9번출구앞,32,arrive,7,70.0,0,11,2025_1,1,0,0,0,0,0,1,1,46.0,19.0,54.666666666666664,14.6,0.0,0,0,0
2025_05_13,사당역9번출구앞,32,arrive,7,70.0,1,11,2025_1,1,0,0,0,0,0,1,1,70.0,31.0,55.0,17.7,0.0,0,0,0
2025_05_14,사당역9번출구앞,32,arrive,7,68.0,2,11,2025_1,1,0,0,0,0,0,1,1,70.0,69.0,62.0,19.2,0.1,0,0,0
2025_05_15,사당역9번출구앞,32,arrive,7,70.0,3,11,2025_1,1,0,0,0,0,0,1,1,68.0,49.0,69.33333333333333,18.4,2.8,1,0,0
2025_05_16,사당역9번출구앞,32,arrive,7,33.0,4,11,2025_1,1,0,0,0,0,0,0,0,70.0,46.0,69.33333333333333,18.8,16.6,1,0,0
2025_05_19,사당역9번출구앞,32,arrive,7,69.0,0,12,2025_1,1,0,0,0,0,0,1,1,33.0,70.0,57.0,15.2,0.0,0,0,0
2025_05_20,사당역9번출구앞,32,arrive,7,69.0,1,12,2025_1,1,0,0,0,0,0,1,1,69.0,70.0,57.333333333333336,21.3,0.2,0,0,0
2025_05_21,사당역9번출구앞,32,arrive,7,52.0,2,12,2025_1,1,0,0,0,0,0,1,0,69.0,68.0,57.0,23.2,0.5,1,0,0
2025_05_22,사당역9번출구앞,32,arrive,7,69.0,3,12,2025_1,1,0,0,0,0,0,1,1,52.0,70.0,63.333333333333336,22.2,2.1,1,0,0
2025_05_23,사당역9번출구앞,32,arrive,7,46.0,4,12,2025_1,1,0,0,0,0,0,1,0,69.0,33.0,63.333333333333336,19.2,4.0,1,0,0
2025_05_26,사당역9번출구앞,32,arrive,7,49.0,0,13,2025_1,1,0,0,0,1,0,1,0,46.0,69.0,55.666666666666664,17.5,0.0,0,0,0
2025_05_27,사당역9번출구앞,32,arrive,7,57.0,1,13,2025_1,1,0,0,0,1,0,1,0,49.0,69.0,54.666666666666664,17.9,0.0,0,0,0
2025_05_28,사당역9번출구앞,32,arrive,7,41.0,2,13,2025_1,1,0,0,0,1,0,0,0,57.0,52.0,50.666666666666664,18.4,4.0,1,0,0
2025_05_29,사당역9번출구앞,32,arrive,7,44.0,3,13,2025_1,1,0,0,0,1,0,1,0,41.0,69.0,49.0,19.5,3.3,1,0,0
2025_05_30,사당역9번출구앞,32,arrive,7,37.0,4,13,2025_1,1,0,0,0,1,0,0,0,44.0,46.0,47.333333333333336,20.5,0.0,0,0,0
2025_06_02,사당역9번출구앞,32,arrive,7,70.0,0,14,2025_1,1,0,0,0,0,0,1,1,37.0,49.0,40.666666666666664,18.8,0.5,1,0,0
2025_06_03,사당역9번출구앞,32,arrive,7,8.0,1,14,2025_1,1,0,0,0,0,0,0,0,70.0,57.0,50.333333333333336,18.8,0.0,0,0,0
2025_06_04,사당역9번출구앞,32,arrive,7,70.0,2,14,2025_1,1,1,0,1,0,0,1,1,8.0,41.0,38.333333333333336,18.6,0.0,0,0,0
2025_06_05,사당역9번출구앞,32,arrive,7,69.0,3,14,2025_1,1,1,0,1,0,0,1,1,70.0,44.0,49.333333333333336,19.8,0.0,0,0,0
2025_06_06,사당역9번출구앞,32,arrive,7,8.0,4,14,2025_1,1,1,0,1,0,1,0,0,,,,21.9,0.0,0,0,0
2025_06_09,사당역9번출구앞,32,arrive,7,41.0,0,15,2025_1,1,1,0,1,0,0,0,0,69.0,37.0,49.0,22.6,0.1,0,0,0
2025_06_10,사당역9번출구앞,32,arrive,7,55.0,1,15,2025_1,1,1,0,1,0,0,1,0,41.0,70.0,60.0,20.0,0.1,0,0,0
2025_06_11,사당역9번출구앞,32,arrive,7,63.0,2,15,2025_1,1,1,0,1,0,0,1,0,55.0,8.0,55.0,20.5,0.0,0,0,0
2025_06_12,사당역9번출구앞,32,arrive,7,40.0,3,15,2025_1,1,1,0,1,0,0,0,0,63.0,70.0,53.0,23.2,0.0,0,0,0
2025_06_13,사당역9번출구앞,32,arrive,7,39.0,4,15,2025_1,1,1,0,1,0,0,0,0,40.0,69.0,52.666666666666664,21.7,5.0,1,0,0
2025_06_16,사당역9번출구앞,32,arrive,7,57.0,0,16,2025_1,1,1,0,1,0,0,1,0,39.0,41.0,47.333333333333336,22.3,15.4,1,0,0
2025_06_17,사당역9번출구앞,32,arrive,7,58.0,1,16,2025_1,1,1,0,1,0,0,1,0,57.0,55.0,45.333333333333336,23.0,0.2,0,0,0
2025_06_18,사당역9번출구앞,32,arrive,7,19.0,2,16,2025_1,1,0,0,0,0,0,0,0,58.0,63.0,51.333333333333336,23.7,0.0,0,0,0
2025_06_19,사당역9번출구앞,32,arrive,7,30.0,3,16,2025_1,1,0,0,0,0,0,0,0,19.0,40.0,44.666666666666664,25.3,0.6,1,0,0
2025_06_20,사당역9번출구앞,32,arrive,7,26.0,4,16,2025_1,1,0,0,0,0,0,0,0,30.0,39.0,35.666666666666664,23.1,45.8,1,0,0
2025_06_23,사당역9번출구앞,32,arrive,7,45.0,0,17,2025_1,1,0,0,0,0,0,1,0,26.0,57.0,25.0,22.5,0.0,0,0,0
2025_08_25,사당역9번출구앞,32,arrive,7,70.0,0,1,2025_2,2,0,0,0,0,0,1,1,45.0,58.0,33.666666666666664,27.5,21.9,1,0,0
2025_08_26,사당역9번출구앞,32,arrive,7,69.0,1,1,2025_2,2,0,0,0,0,0,1,1,70.0,19.0,47.0,25.3,24.3,1,0,0
2025_08_27,사당역9번출구앞,32,arrive,7,41.0,2,1,2025_2,2,0,0,0,0,0,0,0,69.0,30.0,61.333333333333336,25.1,0.1,0,0,0
2025_08_28,사당역9번출구앞,32,arrive,7,41.0,3,1,2025_2,2,0,0,0,0,0,0,0,41.0,26.0,60.0,26.0,1.1,1,0,0
2025_08_29,사당역9번출구앞,32,arrive,7,35.0,4,1,2025_2,2,0,0,0,0,0,0,0,41.0,45.0,50.333333333333336,27.2,4.8,1,0,0
2025_09_01,사당역9번출구앞,32,arrive,7,70.0,0,2,2025_2,2,0,0,0,0,0,1,1,35.0,70.0,39.0,24.9,20.5,1,0,0
