date,temp_max,temp_min,precip_mm,rain_mm,temp_avg,is_rainy,is_cold,is_hot
2025_03_01,12.6,-0.6,2.8,2.8,6.0,1,0,0
2025_03_02,14.9,1.4,11.1,11.1,8.2,1,0,0
2025_03_03,5.3,-0.3,17.4,9.0,2.5,1,1,0
2025_03_04,3.2,-0.2,3.9,0.0,1.5,1,1,0
2025_03_05,6.4,0.6,0.2,0.0,3.5,0,1,0
2025_03_06,8.6,-1.8,0.0,0.0,3.4,0,1,0
2025_03_07,8.4,-2.8,0.0,0.0,2.8,0,1,0
2025_03_08,8.4,0.6,0.0,0.0,4.5,0,1,0
2025_03_09,10.6,-1.1,0.0,0.0,4.8,0,1,0
2025_03_10,12.2,-0.2,0.0,0.0,6.0,0,0,0
2025_03_11,13.7,1.8,0.0,0.0,7.8,0,0,0
2025_03_12,11.4,3.2,0.1,0.1,7.3,0,0,0
2025_03_13,13.1,0.1,0.0,0.0,6.6,0,0,0
2025_03_14,16.9,3.8,0.0,0.0,10.4,0,0,0
2025_03_15,14.6,6.2,0.0,0.0,10.4,0,0,0
2025_03_16,7.1,0.1,1.0,1.0,3.6,1,1,0
2025_03_17,4.2,-3.6,0.1,0.0,0.3,0,1,0
2025_03_18,3.3,-1.9,4.5,0.2,0.7,1,1,0
2025_03_19,4.6,-6.1,0.0,0.0,-0.8,0,1,0
2025_03_20,13.6,-1.3,0.0,0.0,6.1,0,0,0
2025_03_21,16.1,3.0,0.0,0.0,9.6,0,0,0
2025_03_22,17.7,4.7,0.0,0.0,11.2,0,0,0
2025_03_23,21.4,5.4,0.0,0.0,13.4,0,0,0
2025_03_24,19.1,9.1,0.0,0.0,14.1,0,0,0
2025_03_25,20.2,6.2,0.0,0.0,13.2,0,0,0
2025_03_26,21.8,3.4,0.0,0.0,12.6,0,0,0
2025_03_27,18.8,6.3,1.0,1.0,12.6,1,0,0
2025_03_28,10.4,1.6,0.0,0.0,6.0,0,0,0
2025_03_29,5.4,-2.2,0.7,0.5,1.6,1,1,0
2025_03_30,5.8,-3.0,0.8,0.2,1.4,1,1,0
2025_03_31,11.5,-1.0,0.0,0.0,5.2,0,0,0
2025_04_01,14.1,1.2,0.0,0.0,7.6,0,0,0
2025_04_02,12.9,2.2,0.6,0.6,7.6,1,0,0
2025_04_03,14.4,1.2,0.0,0.0,7.8,0,0,0
2025_04_04,14.4,3.5,0.0,0.0,9.0,0,0,0
2025_04_05,9.1,5.4,14.5,14.5,7.2,1,0,0
2025_04_06,13.4,4.4,0.1,0.1,8.9,0,0,0
2025_04_07,18.5,3.3,0.0,0.0,10.9,0,0,0
2025_04_08,15.7,6.5,3.3,3.3,11.1,1,0,0
2025_04_09,16.0,5.6,0.2,0.2,10.8,0,0,0
2025_04_10,16.9,5.1,0.0,0.0,11.0,0,0,0
2025_04_11,20.6,4.9,0.0,0.0,12.8,0,0,0
2025_04_12,21.6,1.5,13.5,10.7,11.6,1,0,0
